filename,height,width,dimentions
1996_00517172-Figure8-1subFig-1.png,277,349,3
1998_00698580-Figure1-1subFig-2.png,129,106,3
1998_00698580-Figure4-1subFig-1.png,166,225,3
1998_00698583-Figure5-1subFig-1.png,232,301,3
1998_00698585-Figure2-1subFig-1.png,314,1027,3
1998_00698587-Figure1-1subFig-13.png,205,152,3
1998_00698587-Figure1-1subFig-4.png,205,150,3
1998_00698587-Figure1-1subFig-9.png,181,151,3
1998_00698587-Figure2-1subFig-14.png,169,128,3
1998_00698587-Figure4-1subFig-2.png,270,506,3
1998_00698588-Figure1-1subFig-1.png,216,465,3
1998_00698588-Figure2-1subFig-1.png,216,465,3
1998_00698589-Figure3-1subFig-1.png,224,210,3
1998_00698590-Figure1-1subFig-1.png,170,148,3
1998_00698595-Figure1-1subFig-1.png,351,329,3
1998_00698595-Table1-1subFig-1.png,270,534,3
1998_00698596-Figure4-1subFig-2.png,190,190,3
1998_00698596-Table3-1subFig-1.png,134,443,3
1998_00698597-Figure3-1subFig-6.png,122,121,3
1998_00698597-Figure6-1subFig-7.png,142,121,3
1998_00698598-Figure3-1subFig-1.png,463,487,3
1998_00698599-Figure3-1subFig-2.png,106,108,3
1998_00698600-Figure3-1subFig-1.png,316,431,3
1998_00698600-Figure4-1subFig-1.png,293,432,3
1998_00698601-Figure1-1subFig-3.png,188,225,3
1998_00698601-Figure4-1subFig-1.png,398,487,3
1998_00698601-Figure7-1subFig-1.png,377,488,3
1998_00698603-Table1-1subFig-1.png,219,480,3
1998_00698603-Table2-1subFig-1.png,220,480,3
1998_00698603-Table4-1subFig-1.png,233,424,3
1998_00698604-Table1-1subFig-1.png,126,822,3
1998_00698606-Figure4-1subFig-1.png,307,432,3
1998_00698607-Figure2-1subFig-2.png,237,234,3
1998_00698608-Figure4-1subFig-1.png,259,375,3
1998_00698608-Figure5-1subFig-1.png,267,378,3
1998_00698610-Figure10-1subFig-1.png,185,219,3
1998_00698610-Figure10-1subFig-2.png,187,225,3
1998_00698610-Figure10-1subFig-3.png,183,220,3
1998_00698610-Figure10-1subFig-4.png,185,220,3
1998_00698610-Figure3-1subFig-1.png,186,225,3
1998_00698610-Figure3-1subFig-2.png,186,225,3
1998_00698610-Figure3-1subFig-3.png,184,225,3
1998_00698610-Figure3-1subFig-4.png,185,225,3
1998_00698610-Figure4-1subFig-1.png,185,224,3
1998_00698610-Figure4-1subFig-2.png,187,217,3
1998_00698610-Figure4-1subFig-3.png,183,216,3
1998_00698610-Figure4-1subFig-4.png,185,216,3
1998_00698610-Figure5-1subFig-1.png,172,202,3
1998_00698610-Figure5-1subFig-2.png,175,202,3
1998_00698610-Figure5-1subFig-3.png,172,207,3
1998_00698610-Figure5-1subFig-4.png,173,202,3
1998_00698610-Figure6-1subFig-1.png,174,453,3
1998_00698610-Figure6-1subFig-2.png,173,453,3
1998_00698610-Figure7-1subFig-1.png,110,453,3
1998_00698610-Figure7-1subFig-2.png,121,453,3
1998_00698610-Figure7-1subFig-3.png,135,453,3
1998_00698610-Figure8-1subFig-1.png,186,217,3
1998_00698610-Figure8-1subFig-2.png,187,217,3
1998_00698610-Figure8-1subFig-3.png,184,218,3
1998_00698610-Figure8-1subFig-4.png,185,218,3
1998_00698610-Figure9-1subFig-1.png,185,485,3
1998_00698610-Figure9-1subFig-2.png,187,485,3
1998_00698611-Figure7-1subFig-2.png,248,227,3
1998_00698611-Figure8-1subFig-1.png,180,240,3
1998_00698611-Figure8-1subFig-3.png,278,225,3
1998_00698612-Figure2-1subFig-1.png,206,224,3
1998_00698613-Figure4-1subFig-1.png,270,465,3
1998_00698613-Figure7-1subFig-1.png,184,211,3
1998_00698613-Figure7-1subFig-2.png,179,216,3
1998_00698613-Figure7-1subFig-5.png,184,212,3
1998_00698613-Table1-1subFig-1.png,183,462,3
1998_00698614-Figure3-1subFig-2.png,156,129,3
